brand,name,slug,gender,concentration,year,top_notes,heart_notes,base_notes,family,rating,longevity_score,sillage_score,versatility_score,imageUrl,image_source_url,image_storage_path,image_public_url,description_short,description_long,price_range,is_arabic,is_niche,catalog_status,source_name,source_type,official_source_url,source_confidence,data_quality
Fragonard,Grain de Soleil,fragonard-grain-de-soleil,WOMEN,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/fragonard/fragonard-grain-de-soleil.jpg,https://media.parfumo.com/perfumes/94/948b82-grain-de-soleil-fragonard_1200.jpg,fragonard/fragonard-grain-de-soleil.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/fragonard/fragonard-grain-de-soleil.jpg,"Grain de Soleil by Fragonard, woody profile with Bergamot, Citrus, Floral.","Grain de Soleil by Fragonard belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Fragonard/Grain_de_Soleil,0.7,MEDIUM
Mind Games,French Defense,mind-games-french-defense,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/mind-games/mind-games-french-defense.jpg,https://media.parfumo.com/perfumes/d2/d227f7-french-defense-mind-games_1200.jpg,mind-games/mind-games-french-defense.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/mind-games/mind-games-french-defense.jpg,"French Defense by Mind Games, woody profile with Bergamot, Citrus, Floral.","French Defense by Mind Games belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/mind-games/french-defense,0.7,MEDIUM
Sora Dora,Mandorle Extrait de Parfum,sora-dora-mandorle-extrait-de-parfum,UNISEX,Extrait de Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/sora-dora/sora-dora-mandorle-extrait-de-parfum.jpg,https://media.parfumo.com/perfumes/2a/2a86a2-mandorle-extrait-de-parfum-sora-dora_1200.jpg,sora-dora/sora-dora-mandorle-extrait-de-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/sora-dora/sora-dora-mandorle-extrait-de-parfum.jpg,"Mandorle Extrait de Parfum by Sora Dora, woody profile with Bergamot, Citrus, Floral.","Mandorle Extrait de Parfum by Sora Dora belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/sora-dora/mandorle-extrait-de-parfum,0.7,MEDIUM
Frapin,L'Humaniste,frapin-lhumaniste,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/frapin/frapin-lhumaniste.jpg,https://media.parfumo.com/perfumes/b2/b2b596-l-humaniste-frapin_1200.jpg,frapin/frapin-lhumaniste.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/frapin/frapin-lhumaniste.jpg,"L'Humaniste by Frapin, woody profile with Bergamot, Citrus, Floral.","L'Humaniste by Frapin belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Frapin/L_Humaniste,0.7,MEDIUM
Dries Van Noten,Soie Malaquais,dries-van-noten-soie-malaquais,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/dries-van-noten/dries-van-noten-soie-malaquais.jpg,https://media.parfumo.com/perfumes/7b/7b41f6-soie-malaquais-dries-van-noten_1200.jpg,dries-van-noten/dries-van-noten-soie-malaquais.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/dries-van-noten/dries-van-noten-soie-malaquais.jpg,"Soie Malaquais by Dries Van Noten, woody profile with Bergamot, Citrus, Floral.","Soie Malaquais by Dries Van Noten belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/dries-van-noten/soie-malaquais,0.7,MEDIUM
Aedes de Venustas,Copal Azur,aedes-de-venustas-copal-azur,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/aedes-de-venustas/aedes-de-venustas-copal-azur.jpg,https://media.parfumo.com/perfumes/06/068d1c-copal-azur-aedes-de-venustas_1200.jpg,aedes-de-venustas/aedes-de-venustas-copal-azur.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/aedes-de-venustas/aedes-de-venustas-copal-azur.jpg,"Copal Azur by Aedes de Venustas, woody profile with Bergamot, Citrus, Floral.","Copal Azur by Aedes de Venustas belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Aedes_de_Venustas/Copal_Azur,0.7,MEDIUM
Comme des Garçons,Series 3: Incense - Kyoto,comme-des-garcons-series-3-incense-kyoto,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/comme-des-garcons/comme-des-garcons-series-3-incense-kyoto.jpg,https://media.parfumo.com/perfumes/5a/5a5a42-series-3-incense-kyoto-comme-des-garcons_1200.jpg,comme-des-garcons/comme-des-garcons-series-3-incense-kyoto.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/comme-des-garcons/comme-des-garcons-series-3-incense-kyoto.jpg,"Series 3: Incense - Kyoto by Comme des Garçons, woody profile with Bergamot, Citrus, Floral.","Series 3: Incense - Kyoto by Comme des Garçons belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Comme_des_Garons/Series_3_Incense_Kyoto,0.7,MEDIUM
Aramis,Tuscany per Uomo Eau de Toilette,aramis-tuscany-per-uomo-eau-de-toilette,MEN,Eau de Toilette,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/aramis/aramis-tuscany-per-uomo-eau-de-toilette.jpg,https://media.parfumo.com/perfumes/5c/5c139c-tuscany-per-uomo-etruscan-eau-de-toilette-aramis_1200.jpg,aramis/aramis-tuscany-per-uomo-eau-de-toilette.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/aramis/aramis-tuscany-per-uomo-eau-de-toilette.jpg,"Tuscany per Uomo Eau de Toilette by Aramis, woody profile with Bergamot, Citrus, Floral.","Tuscany per Uomo Eau de Toilette by Aramis belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,true,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Aramis/Tuscany_per_Uomo_Etruscan_Eau_de_Toilette,0.7,MEDIUM
Widian,London Eau de Parfum,widian-london-eau-de-parfum,UNISEX,Eau de Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.6,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/widian/widian-london-eau-de-parfum.jpg,https://media.parfumo.com/perfumes/dd/ddff3d_london-eau-de-parfum-widian-aj-arabia_1200.jpg,widian/widian-london-eau-de-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/widian/widian-london-eau-de-parfum.jpg,"London Eau de Parfum by Widian, woody profile with Bergamot, Citrus, Floral.","London Eau de Parfum by Widian belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Widian/london-eau-de-parfum,0.7,MEDIUM
Chanel,Coco Parfum,chanel-coco-parfum,WOMEN,Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.5,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/chanel/chanel-coco-parfum.jpg,https://media.parfumo.com/perfumes/b4/b4750a-coco-parfum-chanel_1200.jpg,chanel/chanel-coco-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/chanel/chanel-coco-parfum.jpg,"Coco Parfum by Chanel, woody profile with Bergamot, Citrus, Floral.","Coco Parfum by Chanel belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Chanel/Coco_Parfum,0.7,MEDIUM
Roja Parfums,Amber Aoud Absolue Précieux,roja-parfums-amber-aoud-absolue-precieux,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.5,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/roja-parfums/roja-parfums-amber-aoud-absolue-precieux.jpg,https://media.parfumo.com/perfumes/97/97bedc-amber-aoud-absolue-precieux-roja-parfums_1200.jpg,roja-parfums/roja-parfums-amber-aoud-absolue-precieux.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/roja-parfums/roja-parfums-amber-aoud-absolue-precieux.jpg,"Amber Aoud Absolue Précieux by Roja Parfums, woody profile with Bergamot, Citrus, Floral.","Amber Aoud Absolue Précieux by Roja Parfums belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Roja_Parfums/Amber_Aoud_Absolue_Precieux,0.7,MEDIUM
Guerlain,Shalimar Extrait,guerlain-shalimar-extrait,WOMEN,Extrait de Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.5,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/guerlain/guerlain-shalimar-extrait.jpg,https://media.parfumo.com/perfumes/a8/a8b39e-shalimar-extrait-guerlain_1200.jpg,guerlain/guerlain-shalimar-extrait.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/guerlain/guerlain-shalimar-extrait.jpg,"Shalimar Extrait by Guerlain, woody profile with Bergamot, Citrus, Floral.","Shalimar Extrait by Guerlain belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Guerlain/Shalimar_Extrait,0.7,MEDIUM
Anfas,Ishq Special,anfas-ishq-special,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.5,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/anfas/anfas-ishq-special.jpg,https://media.parfumo.com/perfumes/f5/f521fa-ishq-special-anfas_1200.jpg,anfas/anfas-ishq-special.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/anfas/anfas-ishq-special.jpg,"Ishq Special by Anfas, woody profile with Bergamot, Citrus, Floral.","Ishq Special by Anfas belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Anfas/ishq-special,0.7,MEDIUM
Parfums d'Elmar,Kaya,parfums-delmar-kaya,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.5,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/parfums-delmar/parfums-delmar-kaya.jpg,https://media.parfumo.com/perfumes/b9/b9ba97-kaya-parfums-d-elmar_1200.jpg,parfums-delmar/parfums-delmar-kaya.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/parfums-delmar/parfums-delmar-kaya.jpg,"Kaya by Parfums d'Elmar, woody profile with Bergamot, Citrus, Floral.","Kaya by Parfums d'Elmar belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Parfums_dElmar/kaya,0.7,MEDIUM
Xerjoff,Alexandria II Anniversary,xerjoff-alexandria-ii-anniversary,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/xerjoff/xerjoff-alexandria-ii-anniversary.jpg,https://media.parfumo.com/perfumes/52/527577-alexandria-ii-anniversary-xerjoff_1200.jpg,xerjoff/xerjoff-alexandria-ii-anniversary.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/xerjoff/xerjoff-alexandria-ii-anniversary.jpg,"Alexandria II Anniversary by Xerjoff, woody profile with Bergamot, Citrus, Floral.","Alexandria II Anniversary by Xerjoff belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Xerjoff/alexandria-ii-anniversary,0.7,MEDIUM
Yves Saint Laurent,Opium (1977) Eau de Toilette,yves-saint-laurent-opium-1977-eau-de-toilette,WOMEN,Eau de Toilette,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/yves-saint-laurent/yves-saint-laurent-opium-1977-eau-de-toilette.jpg,https://media.parfumo.com/perfumes/a3/a3eb4d-opium-1977-eau-de-toilette-yves-saint-laurent_1200.jpg,yves-saint-laurent/yves-saint-laurent-opium-1977-eau-de-toilette.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/yves-saint-laurent/yves-saint-laurent-opium-1977-eau-de-toilette.jpg,"Opium (1977) Eau de Toilette by Yves Saint Laurent, woody profile with Bergamot, Citrus, Floral.","Opium (1977) Eau de Toilette by Yves Saint Laurent belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Opium_1977_Eau_de_Toilette,0.7,MEDIUM
Dolce & Gabbana,The One Luminous Night,dolce-and-gabbana-the-one-luminous-night,MEN,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/dolce-and-gabbana/dolce-and-gabbana-the-one-luminous-night.jpg,https://media.parfumo.com/perfumes/49/4980a8-the-one-luminous-night-dolce-gabbana_1200.jpg,dolce-and-gabbana/dolce-and-gabbana-the-one-luminous-night.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/dolce-and-gabbana/dolce-and-gabbana-the-one-luminous-night.jpg,"The One Luminous Night by Dolce & Gabbana, woody profile with Bergamot, Citrus, Floral.","The One Luminous Night by Dolce & Gabbana belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-one-luminous-night,0.7,MEDIUM
Clive Christian,C: Woody Leather,clive-christian-c-woody-leather,MEN,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/clive-christian/clive-christian-c-woody-leather.jpg,https://media.parfumo.com/perfumes/09/093dbd-c-woody-leather-clive-christian_1200.jpg,clive-christian/clive-christian-c-woody-leather.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/clive-christian/clive-christian-c-woody-leather.jpg,"C: Woody Leather by Clive Christian, woody profile with Bergamot, Citrus, Floral.","C: Woody Leather by Clive Christian belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Clive_Christian/c-woody-leather,0.7,MEDIUM
Lattafa Pride,Art of Nature II,lattafa-pride-art-of-nature-ii,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.3,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/lattafa-pride/lattafa-pride-art-of-nature-ii.jpg,https://media.parfumo.com/perfumes/5d/5dad80_art-of-nature-ii-lattafa-pride_1200.jpg,lattafa-pride/lattafa-pride-art-of-nature-ii.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/lattafa-pride/lattafa-pride-art-of-nature-ii.jpg,"Art of Nature II by Lattafa Pride, woody profile with Bergamot, Citrus, Floral.","Art of Nature II by Lattafa Pride belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/lattafa-pride/art-of-nature-ii,0.7,MEDIUM
Jean Paul Gaultier,Classique Essence de Parfum,jean-paul-gaultier-classique-essence-de-parfum,WOMEN,Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/jean-paul-gaultier/jean-paul-gaultier-classique-essence-de-parfum.jpg,https://media.parfumo.com/perfumes/da/daaaa8_classique-essence-de-parfum-jean-paul-gaultier_1200.jpg,jean-paul-gaultier/jean-paul-gaultier-classique-essence-de-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/jean-paul-gaultier/jean-paul-gaultier-classique-essence-de-parfum.jpg,"Classique Essence de Parfum by Jean Paul Gaultier, woody profile with Bergamot, Citrus, Floral.","Classique Essence de Parfum by Jean Paul Gaultier belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/Classique_Essence_de_Parfum,0.7,MEDIUM
Lattafa,Angham Eau de Parfum,lattafa-angham-eau-de-parfum,WOMEN,Eau de Parfum,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/lattafa/lattafa-angham-eau-de-parfum.jpg,https://media.parfumo.com/perfumes/a0/a0d8d1-angham-lattafa_1200.jpg,lattafa/lattafa-angham-eau-de-parfum.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/lattafa/lattafa-angham-eau-de-parfum.jpg,"Angham Eau de Parfum by Lattafa, woody profile with Bergamot, Citrus, Floral.","Angham Eau de Parfum by Lattafa belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Lattafa/angham-eau-de-parfum-1,0.7,MEDIUM
Bvlgari,Le Gemme - Kobraa,bvlgari-le-gemme-kobraa,MEN,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/bvlgari/bvlgari-le-gemme-kobraa.jpg,https://media.parfumo.com/perfumes/36/36cf6a_le-gemme-kobraa-bvlgari_1200.jpg,bvlgari/bvlgari-le-gemme-kobraa.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/bvlgari/bvlgari-le-gemme-kobraa.jpg,"Le Gemme - Kobraa by Bvlgari, woody profile with Bergamot, Citrus, Floral.","Le Gemme - Kobraa by Bvlgari belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Bvlgari/le-gemme-kobraa,0.7,MEDIUM
Prada,Cargo de Nuit,prada-cargo-de-nuit,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/prada/prada-cargo-de-nuit.jpg,https://media.parfumo.com/perfumes/91/917ddd-cargo-de-nuit-prada_1200.jpg,prada/prada-cargo-de-nuit.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/prada/prada-cargo-de-nuit.jpg,"Cargo de Nuit by Prada, woody profile with Bergamot, Citrus, Floral.","Cargo de Nuit by Prada belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Prada/cargo-de-nuit,0.7,MEDIUM
Zara,Sand Desert at Sunset Intense,zara-sand-desert-at-sunset-intense,MEN,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/zara/zara-sand-desert-at-sunset-intense.jpg,https://media.parfumo.com/perfumes/c7/c758a9-sand-desert-at-sunset-intense-zara_1200.jpg,zara/zara-sand-desert-at-sunset-intense.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/zara/zara-sand-desert-at-sunset-intense.jpg,"Sand Desert at Sunset Intense by Zara, woody profile with Bergamot, Citrus, Floral.","Sand Desert at Sunset Intense by Zara belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Zara/sand-desert-at-sunset-intense,0.7,MEDIUM
Louis Vuitton,Symphony,louis-vuitton-symphony,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/louis-vuitton/louis-vuitton-symphony.jpg,https://media.parfumo.com/perfumes/2f/2f69ef-symphony-louis-vuitton_1200.jpg,louis-vuitton/louis-vuitton-symphony.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/louis-vuitton/louis-vuitton-symphony.jpg,"Symphony by Louis Vuitton, woody profile with Bergamot, Citrus, Floral.","Symphony by Louis Vuitton belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Louis_Vuitton/symphony,0.7,MEDIUM
Kilian,Angels' Share on the Rocks,kilian-angels-share-on-the-rocks,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/kilian/kilian-angels-share-on-the-rocks.jpg,https://media.parfumo.com/perfumes/16/1634b3_angels-share-on-the-rocks-kilian_1200.jpg,kilian/kilian-angels-share-on-the-rocks.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/kilian/kilian-angels-share-on-the-rocks.jpg,"Angels' Share on the Rocks by Kilian, woody profile with Bergamot, Citrus, Floral.","Angels' Share on the Rocks by Kilian belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Kilian/angels-share-on-the-rocks-1,0.7,MEDIUM
Sospiro,Basso,sospiro-basso,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/sospiro/sospiro-basso.jpg,https://media.parfumo.com/perfumes/26/261459-basso-sospiro_1200.jpg,sospiro/sospiro-basso.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/sospiro/sospiro-basso.jpg,"Basso by Sospiro, woody profile with Bergamot, Citrus, Floral.","Basso by Sospiro belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Sospiro/basso,0.7,MEDIUM
Dior,Dior Homme Intense (2007),dior-dior-homme-intense-2007,MEN,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/dior/dior-dior-homme-intense-2007.jpg,https://media.parfumo.com/perfumes/9c/9cef9e-dior-homme-intense-2007-dior_1200.jpg,dior/dior-dior-homme-intense-2007.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/dior/dior-dior-homme-intense-2007.jpg,"Dior Homme Intense (2007) by Dior, woody profile with Bergamot, Citrus, Floral.","Dior Homme Intense (2007) by Dior belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense,0.7,MEDIUM
Amouage,Guidance 46,amouage-guidance-46,UNISEX,,,Bergamot;Citrus,Floral;Spicy,Woody;Amber,Woody,4.2,,,,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/amouage/amouage-guidance-46.jpg,https://media.parfumo.com/perfumes/cf/cf53a1-guidance-46-amouage_1200.jpg,amouage/amouage-guidance-46.jpg,https://rmnbfnaapibtyfxuacde.supabase.co/storage/v1/object/public/perfumes/amouage/amouage-guidance-46.jpg,"Guidance 46 by Amouage, woody profile with Bergamot, Citrus, Floral.","Guidance 46 by Amouage belongs to the woody family with top notes of Bergamot, Citrus, a heart of Floral, Spicy, and a base of Woody, Amber.",PREMIUM,false,false,IMPORTED_UNVERIFIED,Parfumo,OTHER,https://www.parfumo.com/Perfumes/Amouage/guidance-46,0.7,MEDIUM
