id,slug,brand,name,matched_url,longevity_score,longevity_source,sillage_score,sillage_source,versatility_score,versatility_source,neighbor_slugs
4828,hermes-terre-d-hermes,Hermes,Terre d Hermes,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,chanel-bleu-de-chanel-parfum | guerlain-linstant-de-guerlain-pour-homme-eau-de-parfum | guerlain-linstant-de-guerlain-pour-homme-eau-de-toilette | dior-dior-homme-parfum-2014 | maison-francis-kurkdjian-lumiere-noire-homme | chanel-allure-homme-edition-blanche-eau-de-parfum | guerlain-guerlain-homme-eau-de-parfum
4867,initio-oud-for-greatness,Initio,Oud for Greatness,,8,catalog-neighbors,7,catalog-neighbors,6,catalog-neighbors,nishane-nefs | kinetic-perfumes-sillage | marc-antoine-barrois-ganymede-eau-de-parfum | yves-saint-laurent-tuxedo-eau-de-parfum | liquides-imaginaires-liquide-2022 | xerjoff-uden | widian-london-extrait-de-parfum
4831,jean-paul-gaultier-le-male-le-parfum,Jean Paul Gaultier,Le Male Le Parfum,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/le-male-le-parfum,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,xerjoff-homme-anniversary | maison-francis-kurkdjian-amyris-homme-extrait-de-parfum | prada-lhomme-intense | xerjoff-kbridge-club | parfums-de-marly-althair | prada-lhomme | chanel-allure-homme-edition-blanche-eau-de-parfum
4869,kilian-paris-angels-share,Kilian Paris,Angels Share,,7,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,marc-antoine-barrois-tilia | bdk-parfums-gris-charnel-extrait | casamorati-lira-eau-de-parfum | pana-dora-forever-love | roja-parfums-isola-blu-parfum | casamorati-bouquet-ideale-eau-de-parfum | creed-virgin-island-water
4844,lancome-la-vie-est-belle,Lancome,La Vie Est Belle,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,dior-dior-homme-parfum-2014 | xerjoff-homme-anniversary | maison-francis-kurkdjian-amyris-homme-extrait-de-parfum | prada-lhomme-intense | parfums-de-marly-althair | prada-lhomme | giorgio-armani-acqua-di-gio-parfum
4856,le-labo-santal-33,Le Labo,Santal 33,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,nishane-nefs | kinetic-perfumes-sillage | yves-saint-laurent-tuxedo-eau-de-parfum | dior-bois-dargent-eau-de-parfum | liquides-imaginaires-liquide-2022 | nishane-wulong-cha-extrait-de-parfum | maison-francis-kurkdjian-gentle-fluidity-silver
4854,maison-francis-kurkdjian-baccarat-rouge-540,Maison Francis Kurkdjian,Baccarat Rouge 540,,9,seed-curated,8,seed-curated,7,seed-curated,maison-francis-kurkdjian-gentle-fluidity-silver | nishane-nefs | kinetic-perfumes-sillage | marc-antoine-barrois-ganymede-eau-de-parfum | yves-saint-laurent-tuxedo-eau-de-parfum | dior-bois-dargent-eau-de-parfum | liquides-imaginaires-liquide-2022
4855,maison-francis-kurkdjian-grand-soir,Maison Francis Kurkdjian,Grand Soir,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,maison-francis-kurkdjian-gentle-fluidity-silver | nishane-nefs | kinetic-perfumes-sillage | yves-saint-laurent-tuxedo-eau-de-parfum | liquides-imaginaires-liquide-2022 | nishane-wulong-cha-extrait-de-parfum | marc-antoine-barrois-ganymede-eau-de-parfum
4848,mugler-alien,Mugler,Alien,,8,catalog-neighbors,7,catalog-neighbors,7,catalog-neighbors,dior-dior-homme-parfum-2014 | chanel-bleu-de-chanel-parfum | xerjoff-homme-anniversary | maison-francis-kurkdjian-lumiere-noire-homme | guerlain-linstant-de-guerlain-pour-homme-eau-de-toilette | prada-lhomme-intense | guerlain-guerlain-homme-eau-de-parfum
4849,mugler-angel,Mugler,Angel,,7,catalog-neighbors,6,catalog-neighbors,7,catalog-neighbors,lancome-poeme-eau-de-parfum | the-merchant-of-venice-la-fenice-pour-femme | penhaligons-changing-constance | penhaligons-luna-eau-de-toilette | marc-antoine-barrois-tilia | chanel-n-5-eau-premiere | guerlain-linstant-magic-eau-de-parfum
