brand,name,slug,official_source_url,image_source_url,image_storage_path,catalog_status,data_quality,confidence_score,review_status,final_url,http_status_code,failure_reason
Dior,Sauvage Elixir,dior-sauvage-elixir,https://www.dior.com/en_int/beauty/products/sauvage-elixir,,dior/dior-sauvage-elixir.jpg,VERIFIED,HIGH,0.00,FETCH_FAILED,https://www.dior.com/en_int/beauty/products/sauvage-elixir,403,BLOCKED:blocked by remote server (HTTP 403)
Dior,Fahrenheit,dior-fahrenheit,https://www.dior.com/en_int/beauty/products/fahrenheit,,dior/dior-fahrenheit.jpg,VERIFIED,HIGH,0.00,FETCH_FAILED,https://www.dior.com/on/demandware.store/Sites-dior_int-Site/en/Product-Show?pid=fahrenheit,403,BLOCKED:blocked by remote server (HTTP 403)
Chanel,Bleu de Chanel Eau de Parfum,chanel-bleu-de-chanel-eau-de-parfum,https://www.chanel.com/us/fragrance/p/107360/bleu-de-chanel-eau-de-parfum-spray/,,chanel/chanel-bleu-de-chanel-eau-de-parfum.jpg,VERIFIED,HIGH,0.00,FETCH_FAILED,https://www.chanel.com/us/fragrance/p/107360/bleu-de-chanel-eau-de-parfum-spray/,403,BLOCKED:blocked by remote server (HTTP 403)
Chanel,Allure Homme Sport,chanel-allure-homme-sport,https://www.chanel.com/us/fragrance/p/123560/allure-homme-sport-eau-de-toilette-spray/,,chanel/chanel-allure-homme-sport.jpg,VERIFIED,HIGH,0.00,FETCH_FAILED,https://www.chanel.com/us/fragrance/p/123560/allure-homme-sport-eau-de-toilette-spray/,403,BLOCKED:blocked by remote server (HTTP 403)
Yves Saint Laurent,La Nuit de L Homme,yves-saint-laurent-la-nuit-de-l-homme,https://www.yslbeautyus.com/fragrance/mens-fragrance/la-nuit-de-lhomme/,,yves-saint-laurent/yves-saint-laurent-la-nuit-de-l-homme.jpg,VERIFIED,HIGH,0.00,FETCH_FAILED,https://www.yslbeautyus.com/fragrance/mens-fragrance/la-nuit-de-lhomme/,403,BLOCKED:blocked by remote server (HTTP 403)
