brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Armaf,Tres Nuit Eau de Toilette,https://www.parfumo.com/Perfumes/Armaf/tres-nuit-eau-de-toilette,MEN,459,7.6,469,,,,,,https://media.parfumo.com/perfumes/a3/a3f87a-tres-nuit-eau-de-toilette-armaf_1200.jpg?width=240&aspect_ratio=1:1,
Givenchy,Gentleman Society Eau de Parfum,https://www.parfumo.com/Perfumes/Givenchy/gentleman-society-eau-de-parfum,MEN,460,7.3,560,,,,,,https://media.parfumo.com/perfumes/5f/5f915b-gentleman-society-eau-de-parfum-givenchy_1200.jpg?width=240&aspect_ratio=1:1,
Jean Paul Gaultier,Fleur du Mâle,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/Fleur_du_Male,MEN,461,7.4,525,,,,,,https://media.parfumo.com/perfumes/52/529099-fleur-du-male-jean-paul-gaultier_1200.jpg?width=240&aspect_ratio=1:1,
Roja Parfums,Harrods pour Homme,https://www.parfumo.com/Perfumes/Roja_Parfums/harrods-pour-homme,MEN,462,8.5,234,,,,,,https://media.parfumo.com/perfumes/36/36a8c3_harrods-pour-homme-roja-parfums_1200.jpg?width=240&aspect_ratio=1:1,
Nasomatto,Absinth Extrait de Parfum,https://www.parfumo.com/Perfumes/Nasomatto/Absinth,MEN,463,7.6,457,,,,,,https://media.parfumo.com/perfumes/a5/a57e4c-absinth-extrait-de-parfum-nasomatto_1200.jpg?width=240&aspect_ratio=1:1,
Ted Lapidus,Altamir Eau de Toilette,https://www.parfumo.com/Perfumes/Ted_Lapidus/Altamir_Eau_de_Toilette,MEN,464,7.7,411,,,,,,https://media.parfumo.com/perfumes/79/79af2d-altamir-eau-de-toilette-ted-lapidus_1200.jpg?width=240&aspect_ratio=1:1,
Jil Sander,Man Pure Eau de Toilette,https://www.parfumo.com/Perfumes/Jil_Sander/Jil_Sander_Man_Pure_Eau_de_Toilette,MEN,465,8.5,240,,,,,,https://media.parfumo.com/perfumes/0a/0a6245-man-pure-eau-de-toilette-jil-sander_1200.jpg?width=240&aspect_ratio=1:1,
Joop!,Joop! Homme Absolute,https://www.parfumo.com/Perfumes/Joop/Joop_Homme_Absolute,MEN,466,7.8,383,,,,,,https://media.parfumo.com/perfumes/3d/3dd3f6-joop-homme-absolute-joop_1200.jpg?width=240&aspect_ratio=1:1,
Penhaligon's,Much Ado About the Duke,https://www.parfumo.com/Perfumes/Penhaligons/much-ado-about-the-duke-1,MEN,467,7.8,382,,,,,,https://media.parfumo.com/perfumes/fa/fa10a3-much-ado-about-the-duke-penhaligon-s_1200.jpg?width=240&aspect_ratio=1:1,
Oscar de la Renta,Pour Lui Eau de Toilette,https://www.parfumo.com/Perfumes/Oscar_de_la_Renta/Pour_Lui_Eau_de_Toilette,MEN,468,7.9,363,,,,,,https://media.parfumo.com/perfumes/0d/0d98bb-pour-lui-eau-de-toilette-oscar-de-la-renta_1200.jpg?width=240&aspect_ratio=1:1,
Caron,Le 3ᵉ Homme Eau de Toilette,https://www.parfumo.com/Perfumes/Caron/Le_3_Homme_Eau_de_Toilette,MEN,469,7.9,363,,,,,,https://media.parfumo.com/perfumes/62/621fe8-le-3e-homme-eau-de-toilette-caron_1200.jpg?width=240&aspect_ratio=1:1,
Bvlgari,Bvlgari Man Wood Neroli,https://www.parfumo.com/Perfumes/Bvlgari/Bvlgari_Man_Wood_Neroli,MEN,470,7.5,469,,,,,,https://media.parfumo.com/perfumes/8a/8a4a7b-bvlgari-man-wood-neroli-bvlgari_1200.jpg?width=240&aspect_ratio=1:1,
Cacharel,Cacharel pour L'Homme Eau de Toilette,https://www.parfumo.com/Perfumes/Cacharel/Cacharel_pour_L_Homme_Eau_de_Toilette,MEN,471,8.0,334,,,,,,https://media.parfumo.com/perfumes/61/616f04-cacharel-pour-l-homme-eau-de-toilette-cacharel_1200.jpg?width=240&aspect_ratio=1:1,
French Avenue,Azzure Aoud,https://www.parfumo.com/Perfumes/french-avenue/azzure-aoud,MEN,472,7.5,461,,,,,,https://media.parfumo.com/perfumes/22/22f776_azzure-aoud-french-avenue_1200.jpg?width=240&aspect_ratio=1:1,
Aramis,Havana Eau de Toilette,https://www.parfumo.com/Perfumes/Aramis/Havana_Eau_de_Toilette,MEN,473,7.9,351,,,,,,https://media.parfumo.com/perfumes/15/159841-havana-eau-de-toilette-aramis_1200.jpg?width=240&aspect_ratio=1:1,
Puig,Quorum Eau de Toilette,https://www.parfumo.com/Perfumes/Puig/Quorum_Eau_de_Toilette,MEN,474,7.5,466,,,,,,https://media.parfumo.com/perfumes/0c/0cc78d-quorum-eau-de-toilette-puig_1200.jpg?width=240&aspect_ratio=1:1,
Dolce & Gabbana,Light Blue pour Homme Eau de Toilette,https://www.parfumo.com/Perfumes/Dolce_Gabbana/Light_Blue_pour_Homme_Eau_de_Toilette,MEN,475,7.0,735,,,,,,https://media.parfumo.com/perfumes/cc/ccadbf_light-blue-pour-homme-eau-de-toilette-dolce-gabbana_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Fahrenheit 32 Eau de Toilette,https://www.parfumo.com/Perfumes/Dior/Fahrenheit_32_Eau_de_Toilette,MEN,476,7.7,403,,,,,,https://media.parfumo.com/perfumes/0c/0cc835-fahrenheit-32-eau-de-toilette-dior_1200.jpg?width=240&aspect_ratio=1:1,
Cerruti,1881 pour Homme (2005) Eau de Toilette,https://www.parfumo.com/Perfumes/Cerruti/1881_pour_Homme_2005_Eau_de_Toilette,MEN,477,7.3,549,,,,,,https://media.parfumo.com/perfumes/a3/a3fe60-1881-pour-homme-2005-eau-de-toilette-cerruti_1200.jpg?width=240&aspect_ratio=1:1,
Roja Parfums,Elysium Eau Intense,https://www.parfumo.com/Perfumes/Roja_Parfums/elysium-eau-intense,MEN,478,7.5,461,,,,,,https://media.parfumo.com/perfumes/91/91ba1e_elysium-eau-intense-roja-parfums_1200.jpg?width=240&aspect_ratio=1:1,
Parfums de Marly,Darley,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Darley,MEN,479,7.8,377,,,,,,https://media.parfumo.com/perfumes/0c/0cc635-darley-parfums-de-marly_1200.jpg?width=240&aspect_ratio=1:1,
Giorgio Armani,Emporio Armani - Stronger With You Oud,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-oud,MEN,480,8.2,284,,,,,,https://media.parfumo.com/perfumes/d0/d02d26-emporio-armani-stronger-with-you-oud-giorgio-armani_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,Vetiver Extreme,https://www.parfumo.com/Perfumes/Guerlain/Vetiver_Extreme,MEN,481,7.9,337,,,,,,https://media.parfumo.com/perfumes/bf/bf2064-vetiver-extreme-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Vétiver,https://www.parfumo.com/Perfumes/Dior/La_Collection_Couturier_Parfumeur_Vetiver,MEN,482,8.1,296,,,,,,https://media.parfumo.com/perfumes/8d/8d67e0-vetiver-dior_1200.jpg?width=240&aspect_ratio=1:1,
Salvatore Ferragamo,Uomo Signature,https://www.parfumo.com/Perfumes/Salvatore_Ferragamo/Uomo_Signature,MEN,483,7.7,393,,,,,,https://media.parfumo.com/perfumes/42/4292ff-uomo-signature-salvatore-ferragamo_1200.jpg?width=240&aspect_ratio=1:1,
Bvlgari,Le Gemme - Kobraa,https://www.parfumo.com/Perfumes/Bvlgari/le-gemme-kobraa,MEN,484,8.5,240,,,,,,https://media.parfumo.com/perfumes/36/36cf6a_le-gemme-kobraa-bvlgari_1200.jpg?width=240&aspect_ratio=1:1,
Giorgio Armani,Eau de Cèdre,https://www.parfumo.com/Perfumes/Giorgio_Armani/Eau_de_Cedre,MEN,485,7.7,381,,,,,,https://media.parfumo.com/perfumes/9e/9e09f3-eau-de-cedre-giorgio-armani_1200.jpg?width=240&aspect_ratio=1:1,
Nicolaï,New-York,https://www.parfumo.com/Perfumes/Nicolai/New_York,MEN,486,8.2,286,,,,,,https://media.parfumo.com/perfumes/78/78caaa-new-york-nicolai-parfums-de-nicolai_1200.jpg?width=240&aspect_ratio=1:1,
Gisada,Titanium,https://www.parfumo.com/Perfumes/Gisada/titanium,MEN,487,7.6,440,,,,,,https://media.parfumo.com/perfumes/0a/0aee81-titanium-gisada_1200.jpg?width=240&aspect_ratio=1:1,
Arabian Oud,Amiri,https://www.parfumo.com/Perfumes/Arabian_Oud/amiri,MEN,488,8.7,206,,,,,,https://media.parfumo.com/perfumes/2f/2f0a15-amiri-arabian-oud_1200.jpg?width=240&aspect_ratio=1:1,
Penhaligon's,The World According to Arthur,https://www.parfumo.com/Perfumes/Penhaligons/the-world-according-to-arthur-1,MEN,489,8.0,318,,,,,,https://media.parfumo.com/perfumes/d1/d109aa-the-world-according-to-arthur-penhaligon-s_1200.jpg?width=240&aspect_ratio=1:1,
Cartier,Déclaration d'Un Soir,https://www.parfumo.com/Perfumes/Cartier/Declaration_dun_Soir,MEN,490,7.3,515,,,,,,https://media.parfumo.com/perfumes/b4/b4011f-declaration-d-un-soir-cartier_1200.jpg?width=240&aspect_ratio=1:1,
Prada,Luna Rossa Extreme,https://www.parfumo.com/Perfumes/Prada/Luna_Rossa_Extreme,MEN,491,7.8,351,,,,,,https://media.parfumo.com/perfumes/cf/cf180f-luna-rossa-extreme-prada_1200.jpg?width=240&aspect_ratio=1:1,
Kiton,Kiton Men Eau de Toilette,https://www.parfumo.com/Perfumes/Kiton/Kiton_Men_Eau_de_Toilette,MEN,492,7.7,387,,,,,,https://media.parfumo.com/perfumes/b3/b36116-kiton-men-eau-de-toilette-kiton_1200.jpg?width=240&aspect_ratio=1:1,
Lalique,Hommage à l'Homme Eau de Toilette,https://www.parfumo.com/Perfumes/Lalique/Hommage__l_Homme_Eau_de_Toilette,MEN,493,7.8,367,,,,,,https://media.parfumo.com/perfumes/c9/c96118-hommage-a-l-homme-eau-de-toilette-lalique_1200.jpg?width=240&aspect_ratio=1:1,
Lancôme,Hypnôse Homme Eau de Toilette,https://www.parfumo.com/Perfumes/Lancome/Hypnose_Homme_Eau_de_Toilette,MEN,494,7.4,474,,,,,,https://media.parfumo.com/perfumes/dd/dd62fb-hypnose-homme-eau-de-toilette-lancome_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,Habit Rouge Parfum,https://www.parfumo.com/Perfumes/Guerlain/habit-rouge-parfum,MEN,495,8.0,304,,,,,,https://media.parfumo.com/perfumes/fb/fba7d9-habit-rouge-parfum-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Van Cleef & Arpels,Pour Homme (1978) Eau de Toilette,https://www.parfumo.com/Perfumes/Van_Cleef_Arpels/pour-homme-1978-eau-de-toilette,MEN,496,8.2,277,,,,,,https://media.parfumo.com/perfumes/2e/2ea9f5-pour-homme-eau-de-toilette-van-cleef-arpels_1200.jpg?width=240&aspect_ratio=1:1,
Montblanc,Legend Eau de Toilette,https://www.parfumo.com/Perfumes/Montblanc/Legend_Eau_de_Toilette,MEN,497,6.9,712,,,,,,https://media.parfumo.com/perfumes/d0/d0044c-legend-eau-de-toilette-montblanc_1200.jpg?width=240&aspect_ratio=1:1,
Penhaligon's,Blenheim Bouquet Eau de Toilette,https://www.parfumo.com/Perfumes/Penhaligons/Blenheim_Bouquet_Eau_de_Toilette,MEN,498,7.3,515,,,,,,https://media.parfumo.com/perfumes/a2/a2929d-blenheim-bouquet-eau-de-toilette-penhaligon-s_1200.jpg?width=240&aspect_ratio=1:1,
Burberry,Hero Eau de Toilette,https://www.parfumo.com/Perfumes/Burberry/hero,MEN,499,7.1,620,,,,,,https://media.parfumo.com/perfumes/18/18cc70-hero-eau-de-toilette-burberry_1200.jpg?width=240&aspect_ratio=1:1,
Zara,9.0,https://www.parfumo.com/Perfumes/Zara/9_0,MEN,500,7.8,354,,,,,,https://media.parfumo.com/perfumes/7a/7a837a-9-0-zara_1200.jpg?width=240&aspect_ratio=1:1,
