brand,name,parfumo_url,gender,rank,rating,votes,year,top_notes,heart_notes,base_notes,family,image_url,notes
Vivienne Westwood,Boudoir Eau de Parfum,https://www.parfumo.com/Perfumes/Vivienne_Westwood/Boudoir,WOMEN,145,7.9,592,,,,,,https://media.parfumo.com/perfumes/f9/f9a80a-boudoir-eau-de-parfum-vivienne-westwood_1200.jpg?width=240&aspect_ratio=1:1,
Prada,Paradoxe Eau de Parfum,https://www.parfumo.com/Perfumes/Prada/paradoxe-eau-de-parfum,WOMEN,146,7.0,1246,,,,,,https://media.parfumo.com/perfumes/80/80bfd2-paradoxe-prada_1200.jpg?width=240&aspect_ratio=1:1,
Chanel,N°19 Parfum,https://www.parfumo.com/Perfumes/Chanel/N19_Parfum,WOMEN,147,8.1,496,,,,,,https://media.parfumo.com/perfumes/51/513ecb-n-19-parfum-chanel_1200.jpg?width=240&aspect_ratio=1:1,
Guerlain,Eau de Shalimar,https://www.parfumo.com/Perfumes/Guerlain/Eau_de_Shalimar,WOMEN,148,8.3,413,,,,,,https://media.parfumo.com/perfumes/c1/c13f86-eau-de-shalimar-guerlain_1200.jpg?width=240&aspect_ratio=1:1,
Jean Paul Gaultier,Classique Essence de Parfum,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/Classique_Essence_de_Parfum,WOMEN,149,8.5,376,,,,,,https://media.parfumo.com/perfumes/da/daaaa8_classique-essence-de-parfum-jean-paul-gaultier_1200.jpg?width=240&aspect_ratio=1:1,
Dior,Dune Eau de Toilette,https://www.parfumo.com/Perfumes/Dior/Dune,WOMEN,150,7.8,612,,,,,,https://media.parfumo.com/perfumes/de/de2ea7-dune-eau-de-toilette-dior_1200.jpg?width=240&aspect_ratio=1:1,
Yves Saint Laurent,Black Opium Eau de Parfum Over Red,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/black-opium-eau-de-parfum-over-red,WOMEN,151,7.9,552,,,,,,https://media.parfumo.com/perfumes/27/27b11b-black-opium-eau-de-parfum-over-red-yves-saint-laurent_1200.jpg?width=240&aspect_ratio=1:1,
Lancôme,Idôle,https://www.parfumo.com/Perfumes/Lancome/Idole,WOMEN,152,7.3,883,,,,,,https://media.parfumo.com/perfumes/dc/dc70b1-idole-lancome_1200.jpg?width=240&aspect_ratio=1:1,
Byredo,La Tulipe Eau de Parfum,https://www.parfumo.com/Perfumes/Byredo/La_Tulipe_Eau_de_Parfum,WOMEN,153,7.8,607,,,,,,https://media.parfumo.com/perfumes/9e/9ec070-la-tulipe-eau-de-parfum-byredo_1200.jpg?width=240&aspect_ratio=1:1,
Givenchy,L'Interdit Eau de Parfum Intense,https://www.parfumo.com/Perfumes/Givenchy/l-interdit-eau-de-parfum-intense,WOMEN,154,8.1,461,,,,,,https://media.parfumo.com/perfumes/0c/0c37ca-l-interdit-eau-de-parfum-intense-givenchy_1200.jpg?width=240&aspect_ratio=1:1,
